ioport_cfg_t @0x31e3cc  count=100  table=0x31e0ac
  P706    0x00000005  OUT_HIGH | DIR_OUTPUT
  P707    0x00004010  PULLUP | IRQ_ENABLE | INPUT
  P800    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P801    0x0b010c00  DRIVE_HIGH | PERIPHERAL | PSEL=0xB
  P900    0x00000005  OUT_HIGH | DIR_OUTPUT
  P901    0x00000005  OUT_HIGH | DIR_OUTPUT
  P905    0x00000005  OUT_HIGH | DIR_OUTPUT
  PB00    0x00000005  OUT_HIGH | DIR_OUTPUT
  PB01    0x14010000  PERIPHERAL | PSEL=0x14


Grouped by function (100 pins configured):

  ANALOG      ( 2)  P00E P00F
  GPIO_IN     ( 2)  P003 P201
  GPIO_OUT    (21)  P30D P30E P402 P403 P404 P405 P406 P50D P606 P607 P700 P701 P702 P703 P704 P705 P706 P900 P901 P905 PB00
  IRQ         ( 7)  P000 P001 P002 P004 P005 P200 P707
  PSEL=0x0    ( 2)  P108 P300
  PSEL=0x11   ( 4)  P500 P501 P502 P503
  PSEL=0x13   ( 1)  P407
  PSEL=0x14   ( 1)  PB01
  PSEL=0x15   ( 7)  P205 P206 P40A P40B P40C P40D P40E
  PSEL=0x4    ( 2)  P505 P506
  PSEL=0x5    ( 4)  P109 P10A P408 P409
  PSEL=0x6    ( 4)  P202 P203 P204 P207
  PSEL=0x7    ( 4)  P400 P401 P50B P50C
  PSEL=0xB    (39)  P100 P101 P102 P103 P104 P105 P106 P107 P10B P10C P10D P10E P10F P301 P302 P303 P304 P305 P306 P307 P308 P309 P30A P30B P30C P601 P602 P603 P604 P605 P608 P609 P60A P60B P60C P60D P60E P800 P801
